"Export for HP:0000118"
"Gene","Associated diseases"
"NDRG1 (10397)","CHARCOT-MARIE-TOOTH DISEASE, TYPE 4D (OMIM:601455)"
"MBTPS2 (51360)","PALMOPLANTAR KERATODERMA, MUTILATING, WI... (OMIM:300918), KERATOSIS FOLLICULARIS SPINULOSA DECALVA... (OMIM:308800), IFAP SYNDROME WITH OR WITHOUT BRESHECK S... (OMIM:308205)"
"ZMYND10 (51364)","CILIARY DYSKINESIA, PRIMARY, 22 (OMIM:615444)"
"FCGR3A (2214)","IMMUNODEFICIENCY 20 (OMIM:615707)"
"FKTN (2218)","MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (C... (OMIM:613152), CARDIOMYOPATHY, DILATED, 1X (OMIM:611615), MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (L... (OMIM:611588), MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (C... (OMIM:253800)"
"POMP (51371)","KERATOSIS LINEARIS WITH ICHTHYOSIS CONGE... (OMIM:601952)"
"FCP1 (2221)","FETAL HEMOGLOBIN QUANTITATIVE TRAIT LOCU... (OMIM:305435)"
"FAM161A (84140)","RETINITIS PIGMENTOSA 28 (OMIM:606068)"
"YAP1 (10413)","COLOBOMA, OCULAR, WITH OR WITHOUT HEARIN... (OMIM:120433)"
"STRADA (92335)","POLYHYDRAMNIOS, MEGALENCEPHALY, AND SYMP... (OMIM:611087)"
"SPG24 (338090)","SPASTIC PARAPLEGIA 24, AUTOSOMAL RECESSI... (OMIM:607584)"
"ZNF644 (84146)","MYOPIA 21, AUTOSOMAL DOMINANT (OMIM:614167)"
"RNASEH2C (84153)","AICARDI-GOUTIERES SYNDROME 3 (OMIM:610329)"
"GORAB (92344)","GERODERMA OSTEODYSPLASTICUM (OMIM:231070)"
"FEB1 (2233)","FEBRILE SEIZURES, FAMILIAL, 1 (OMIM:121210)"
"FEB2 (2234)","FEBRILE SEIZURES, FAMILIAL, 2 (OMIM:602477)"
"FECH (2235)","PROTOPORPHYRIA, ERYTHROPOIETIC (OMIM:177000)"
"COA5 (493753)","CARDIOENCEPHALOMYOPATHY, FATAL INFANTILE... (OMIM:616500)"
"FGA (2243)","AMYLOIDOSIS, FAMILIAL VISCERAL (OMIM:105200), FAMILIAL HYPODYSFIBRINOGENEMIA (OMIM:616004), AFIBRINOGENEMIA, CONGENITALHYPOFIBRINOGE... (OMIM:202400)"
"FGB (2244)","FAMILIAL HYPODYSFIBRINOGENEMIA (OMIM:616004), AFIBRINOGENEMIA, CONGENITALHYPOFIBRINOGE... (OMIM:202400)"
"EMG1 (10436)","BOWEN-CONRADI SYNDROME (OMIM:211180)"
"FGD1 (2245)","AARSKOG-SCOTT SYNDROME (OMIM:305400)"
"MRT9 (100101424)","MENTAL RETARDATION, AUTOSOMAL RECESSIVE ... (OMIM:611095)"
"PLSA1 (100240702)","PRIMARY LATERAL SCLEROSIS, ADULT (OMIM:611637)"
"FGF3 (2248)","DEAFNESS, CONGENITAL, WITH INNER EAR AGE... (OMIM:610706)"
"ANTXR1 (84168)","GAPO SYNDROME (OMIM:230740)"
"FGF5 (2250)","TRICHOMEGALY (OMIM:190330)"
"ELMOD3 (84173)","DEAFNESS, AUTOSOMAL RECESSIVE 88 (OMIM:615429)"
"FGF8 (2253)","HYPOGONADOTROPIC HYPOGONADISM 6 WITH OR ... (OMIM:612702)"
"FGF9 (2254)","MULTIPLE SYNOSTOSES SYNDROME 3 (OMIM:612961)"
"FGF10 (2255)","APLASIA OF LACRIMAL AND SALIVARY GLANDS (OMIM:180920), LACRIMOAURICULODENTODIGITAL SYNDROME (OMIM:149730)"
"FGF14 (2259)","SPINOCEREBELLAR ATAXIA 27 (OMIM:609307)"
"FGFR1 (2260)","PFEIFFER SYNDROME (OMIM:101600), HYPOGONADOTROPIC HYPOGONADISM 2 WITH OR ... (OMIM:147950), TRIGONOCEPHALY 1 (OMIM:190440), JACKSON-WEISS SYNDROME (OMIM:123150), OSTEOGLOPHONIC DYSPLASIA (OMIM:166250), HARTSFIELD SYNDROME (OMIM:615465)"
"LCRB (387281)","BETA-THALASSEMIA (OMIM:613985)"
"FGFR3 (2261)","CAMPTODACTYLY, TALL STATURE, AND HEARING... (OMIM:610474), BLADDER CANCER (OMIM:109800), CERVICAL CANCER (OMIM:603956), CROUZON SYNDROME WITH ACANTHOSIS NIGRICA... (OMIM:612247), THANATOPHORIC DYSPLASIA, TYPE I (OMIM:187600), LACRIMOAURICULODENTODIGITAL SYNDROME (OMIM:149730), HYPOCHONDROPLASIA (OMIM:146000), MUENKE SYNDROME (OMIM:602849), ACHONDROPLASIA (OMIM:100800), ACHONDROPLASIA, SEVERE, WITH DEVELOPMENT... (OMIM:616482), TESTICULAR TUMORSTESTICULAR GERM CELL TU... (OMIM:273300), NEVUS, KERATINOCYTIC, NONEPIDERMOLYTIC (OMIM:162900), COLORECTAL CANCER (OMIM:114500), THANATOPHORIC DYSPLASIA, TYPE II (OMIM:187601)"
"FGFR2 (2263)","PFEIFFER SYNDROME (OMIM:101600), BENT BONE DYSPLASIA SYNDROME (OMIM:614592), BEARE-STEVENSON CUTIS GYRATA SYNDROME (OMIM:123790), GASTRIC CANCERGASTRIC CANCER, INTESTINAL... (OMIM:613659), ANTLEY-BIXLER SYNDROME WITHOUT GENITAL A... (OMIM:207410), APERT SYNDROME (OMIM:101200), JACKSON-WEISS SYNDROME (OMIM:123150), SAETHRE-CHOTZEN SYNDROME (OMIM:101400), LACRIMOAURICULODENTODIGITAL SYNDROME (OMIM:149730), CROUZON SYNDROME (OMIM:123500), FAMILIAL SCAPHOCEPHALY SYNDROME, MCGILLI... (OMIM:609579)"
"HAX1 (10456)","NEUTROPENIA, SEVERE CONGENITAL, AUTOSOMA... (OMIM:610738)"
"FGG (2266)","FAMILIAL HYPODYSFIBRINOGENEMIA (OMIM:616004), AFIBRINOGENEMIA, CONGENITALHYPOFIBRINOGE... (OMIM:202400)"
"SLITRK6 (84189)","DEAFNESS AND MYOPIA (OMIM:221200)"
"MERTK (10461)","RETINITIS PIGMENTOSA 38 (OMIM:613862)"
"FAR1 (84188)","PEROXISOMAL FATTY ACYL-COA REDUCTASE 1 D... (OMIM:616154)"
"PRKAG2 (51422)","WOLFF-PARKINSON-WHITE SYNDROME (OMIM:194200), CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 6 (OMIM:600858), GLYCOGEN STORAGE DISEASE OF HEART, LETHA... (OMIM:261740)"
"FH (2271)","FUMARASE DEFICIENCY (OMIM:606812), HEREDITARY LEIOMYOMATOSIS AND RENAL CELL... (OMIM:150800)"
"FHL1 (2273)","MYOPATHY, REDUCING BODY, X-LINKED, CHILD... (OMIM:300718), SCAPULOPERONEAL MYOPATHY, X-LINKED DOMIN... (OMIM:300695), MYOPATHY, X-LINKED, WITH POSTURAL MUSCLE... (OMIM:300696), MYOPATHY, REDUCING BODY, X-LINKED, EARLY... (OMIM:300717)"
"COG5 (10466)","CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:613612)"
"POMK (84197)","MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (L... (OMIM:616094), MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (C... (OMIM:615249)"
"ZBTB18 (10472)","MENTAL RETARDATION, AUTOSOMAL DOMINANT 2... (OMIM:612337)"
"SLC9A6 (10479)","MENTAL RETARDATION, X-LINKED, SYNDROMIC,... (OMIM:300243)"
"FOXG1 (2290)","RETT SYNDROME, CONGENITAL VARIANT (OMIM:613454)"
"SEC23B (10483)","ANEMIA, DYSERYTHROPOIETIC CONGENITAL, TY... (OMIM:224100)"
"SEC23A (10484)","CRANIOLENTICULOSUTURAL DYSPLASIA (OMIM:607812)"
"FOXF1 (2294)","ALVEOLAR CAPILLARY DYSPLASIA WITH MISALI... (OMIM:265380)"
"FOXC1 (2296)","AXENFELD-RIEGER SYNDROME, TYPE 3 (OMIM:602482), IRIDOGONIODYSGENESIS, TYPE 1 (OMIM:601631)"
"OPLAH (26873)","5-@OXOPROLINASE DEFICIENCY (OMIM:260005)"
"FOXI1 (2299)","ENLARGED VESTIBULAR AQUEDUCT (OMIM:600791)"
"CRTAP (10491)","OSTEOGENESIS IMPERFECTA, TYPE VII (OMIM:610682)"
"FOXE3 (2301)","ANTERIOR SEGMENT MESENCHYMAL DYSGENESIS (OMIM:107250), APHAKIA, CONGENITAL PRIMARY (OMIM:610256)"
"FOXC2 (2303)","LYMPHEDEMA-DISTICHIASIS SYNDROME (OMIM:153400)"
"ZMYND15 (84225)","SPERMATOGENIC FAILURE 14 (OMIM:615842)"
"FOXE1 (2304)","HYPOTHYROIDISM, ATHYROIDAL, WITH SPIKY H... (OMIM:241850)"
"FOXO1 (2308)","RHABDOMYOSARCOMA 2 (OMIM:268220)"
"TMEM126A (84233)","OPTIC ATROPHY 7 WITH OR WITHOUT AUDITORY... (OMIM:612989)"
"FLG (2312)","ICHTHYOSIS VULGARIS (OMIM:146700)"
"LATD (207115)","LATERALITY DEFECTS, AUTOSOMAL DOMINANT (OMIM:601086)"
"FLNA (2316)","INTESTINAL PSEUDOOBSTRUCTION, NEURONAL, ... (OMIM:300048), FRONTOMETAPHYSEAL DYSPLASIA (OMIM:305620), HETEROTOPIA, PERIVENTRICULAR, X-LINKED D... (OMIM:300049), EHLERS-DANLOS SYNDROME WITH PERIVENTRICU... (OMIM:300537), OTOPALATODIGITAL SYNDROME, TYPE I (OMIM:311300), TERMINAL OSSEOUS DYSPLASIA (OMIM:300244), CARDIAC VALVULAR DYSPLASIA, X-LINKED (OMIM:314400), OTOPALATODIGITAL SYNDROME, TYPE II (OMIM:304120), MELNICK-NEEDLES SYNDROME (OMIM:309350), FG SYNDROME 2 (OMIM:300321)"
"FLNB (2317)","BOOMERANG DYSPLASIA (OMIM:112310), SPONDYLOCARPOTARSAL SYNOSTOSIS SYNDROME (OMIM:272460), ATELOSTEOGENESIS, TYPE III (OMIM:108721), LARSEN SYNDROME (OMIM:150250), ATELOSTEOGENESIS, TYPE I (OMIM:108720)"
"GNAS-AS1 (149775)","PSEUDOHYPOPARATHYROIDISM, TYPE IB (OMIM:603233)"
"FLNC (2318)","FILAMINOPATHY, AUTOSOMAL DOMINANT (OMIM:609524), MYOPATHY, DISTAL, 4 (OMIM:614065)"
"DCDC2 (51473)","DEAFNESS, AUTOSOMAL RECESSIVE 66 (OMIM:610212), NEPHRONOPHTHISIS 19 (OMIM:616217)"
"FLT3 (2322)","LEUKEMIA, ACUTE MYELOID (OMIM:601626), LEUKEMIA, ACUTE LYMPHOBLASTIC (OMIM:613065)"
"CABP2 (51475)","DEAFNESS, AUTOSOMAL RECESSIVE 93 (OMIM:614899)"
"FBLN5 (10516)","CUTIS LAXA, AUTOSOMAL DOMINANT 2 (OMIM:614434), CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IA (OMIM:219100), MACULAR DEGENERATION, AGE-RELATED, 3 (OMIM:608895)"
"FLT4 (2324)","LYMPHEDEMA, HEREDITARY, IA (OMIM:153100), HEMANGIOMA, CAPILLARY INFANTILE (OMIM:602089)"
"CIB2 (10518)","USHER SYNDROME, TYPE IJ (OMIM:614869), DEAFNESS, AUTOSOMAL RECESSIVE 48 (OMIM:609439)"
"IL31RA (133396)","AMYLOIDOSIS, PRIMARY LOCALIZED CUTANEOUS... (OMIM:613955)"
"FMO3 (2328)","TRIMETHYLAMINURIA (OMIM:602079)"
"DEAF1 (10522)","MENTAL RETARDATION, AUTOSOMAL DOMINANT 2... (OMIM:615828)"
"FMR1 (2332)","FRAGILE X MENTAL RETARDATION SYNDROME (OMIM:300624), FRAGILE X TREMOR/ATAXIA SYNDROME (OMIM:300623), PREMATURE OVARIAN FAILURE 1 (OMIM:311360)"
"AFF2 (2334)","MENTAL RETARDATION, X-LINKED, ASSOCIATED... (OMIM:309548)"
"FN1 (2335)","GLOMERULOPATHY WITH FIBRONECTIN DEPOSITS... (OMIM:601894)"
"NOP56 (10528)","SPINOCEREBELLAR ATAXIA 36 (OMIM:614153)"
"CISD2 (493856)","WOLFRAM SYNDROME 2 (OMIM:604928)"
"RNASEH2A (10535)","AICARDI-GOUTIERES SYNDROME 4 (OMIM:610333)"
"PTF1A (256297)","PANCREATIC AGENESIS 2 (OMIM:615935), PANCREATIC AND CEREBELLAR AGENESIS (OMIM:609069)"
"FOLR1 (2348)","NEURODEGENERATION DUE TO CEREBRAL FOLATE... (OMIM:613068)"
"RNF135 (84282)","MACROCEPHALY, MACROSOMIA, FACIAL DYSMORP... (OMIM:614192)"
"AGPAT2 (10555)","LIPODYSTROPHY, CONGENITAL GENERALIZED, T... (OMIM:608594)"
"SPTLC1 (10558)","NEUROPATHY, HEREDITARY SENSORY AND AUTON... (OMIM:162400)"
"SLC35A1 (10559)","CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:603585)"
"SLC19A2 (10560)","THIAMINE-RESPONSIVE MEGALOBLASTIC ANEMIA... (OMIM:249270)"
"LARS (51520)","INFANTILE LIVER FAILURE SYNDROME 1 (OMIM:615438)"
"BBIP1 (92482)","BARDET-BIEDL SYNDROME 18 (OMIM:615995)"
"TMEM138 (51524)","JOUBERT SYNDROME 16 (OMIM:614465)"
"ARFGEF2 (10564)","PERIVENTRICULAR HETEROTOPIA WITH MICROCE... (OMIM:608097)"
"PHF6 (84295)","BORJESON-FORSSMAN-LEHMANN SYNDROME (OMIM:301900)"
"SLC34A2 (10568)","TESTICULAR MICROLITHIASIS (OMIM:610441), PULMONARY ALVEOLAR MICROLITHIASIS (OMIM:265100)"
"UQCC2 (84300)","MITOCHONDRIAL COMPLEX III DEFICIENCY, NU... (OMIM:615824)"
"NPC2 (10577)","NIEMANN-PICK DISEASE, TYPE C2 (OMIM:607625)"
"POMT1 (10585)","MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (C... (OMIM:236670), MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (L... (OMIM:609308), MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (C... (OMIM:613155)"
"MAB21L2 (10586)","MICROPHTHALMIA, SYNDROMIC 14 (OMIM:615877)"
"FXN (2395)","FRIEDREICH ATAXIA 1 (OMIM:229300)"
"CANDF1 (117084)","CANDIDIASIS, FAMILIAL CHRONIC MUCOCUTANE... (OMIM:114580)"
"PRPF8 (10594)","RETINITIS PIGMENTOSA 13 (OMIM:600059)"
"SLCO1B1 (10599)","HYPERBILIRUBINEMIA, ROTOR TYPE (OMIM:237450)"
"APOPT1 (84334)","MITOCHONDRIAL COMPLEX IV DEFICIENCY (OMIM:220110)"
"FRDA2 (2420)","FRIEDREICH ATAXIA 2 (OMIM:601992)"
"HPS3 (84343)","HERMANSKY-PUDLAK SYNDROME 3 (OMIM:614072)"
"LARP7 (51574)","ALAZAMI SYNDROME (OMIM:615071)"
"COG8 (84342)","CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:611182)"
"RBCK1 (10616)","POLYGLUCOSAN BODY MYOPATHY, EARLY-ONSET,... (OMIM:615895)"
"STAMBP (10617)","MICROCEPHALY-CAPILLARY MALFORMATION SYND... (OMIM:614261)"
"TPK1 (27010)","THIAMINE METABOLISM DYSFUNCTION SYNDROME... (OMIM:614458)"
"NBAS (51594)","SHORT STATURE, OPTIC NERVE ATROPHY, AND ... (OMIM:614800)"
"DNAI1 (27019)","CILIARY DYSKINESIA, PRIMARY, 1 (OMIM:244400)"
"LIPT1 (51601)","LIPOYLTRANSFERASE 1 DEFICIENCY (OMIM:616299)"
"PIGT (51604)","MULTIPLE CONGENITAL ANOMALIES-HYPOTONIA-... (OMIM:615398), PAROXYSMAL NOCTURNAL HEMOGLOBINURIA 2 (OMIM:615399)"
"MLH3 (27030)","ENDOMETRIAL CANCER (OMIM:608089), COLORECTAL CANCER (OMIM:114500), COLORECTAL CANCER, HEREDITARY NONPOLYPOS... (OMIM:614385)"
"NPHP3 (27031)","NEPHRONOPHTHISIS 3 (OMIM:604387), MECKEL SYNDROME, TYPE 7 (OMIM:267010), RENAL-HEPATIC-PANCREATIC DYSPLASIA (OMIM:208540)"
"ATP2C1 (27032)","BENIGN CHRONIC PEMPHIGUS (OMIM:169600)"
"LOXHD1 (125336)","DEAFNESS, AUTOSOMAL RECESSIVE 77 (OMIM:613079)"
"CATSPER1 (117144)","SPERMATOGENIC FAILURE 7 (OMIM:612997)"
"ACAD8 (27034)","ISOBUTYRYL-COA DEHYDROGENASE DEFICIENCY (OMIM:611283)"
"GPIHBP1 (338328)","HYPERLIPOPROTEINEMIA, TYPE ID (OMIM:615947)"
"SPINT2 (10653)","DIARRHEA 3, SECRETORY SODIUM, CONGENITAL... (OMIM:270420)"
"ARVD6 (27038)","ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLAS... (OMIM:604401)"
"G6PC3 (92579)","NEUTROPENIA, SEVERE CONGENITAL, 4, AUTOS... (OMIM:612541)"
"MGR4 (338342)","MIGRAINE WITHOUT AURA, SUSCEPTIBILITY TO... (OMIM:607501)"
"KLF1 (10661)","BLOOD GROUP--LUTHERAN INHIBITOR (OMIM:111150), ANEMIA, DYSERYTHROPOIETIC CONGENITAL, TY... (OMIM:613673)"
"CTCF (10664)","MENTAL RETARDATION, AUTOSOMAL DOMINANT 2... (OMIM:615502)"
"FARS2 (10667)","COMBINED OXIDATIVE PHOSPHORYLATION DEFIC... (OMIM:614946)"
"DURS1 (10674)","DUANE RETRACTION SYNDROME 1 (OMIM:126800)"
"FSHB (2488)","HYPOGONADOTROPIC HYPOGONADISM 24 WITHOUT... (OMIM:229070)"
"EBP (10682)","CHONDRODYSPLASIA PUNCTATA 2, X-LINKED DO... (OMIM:302960)"
"DLL3 (10683)","SPONDYLOCOSTAL DYSOSTOSIS, AUTOSOMAL REC... (OMIM:277300)"
"FSHR (2492)","OVARIAN DYSGENESIS 1 (OMIM:233300), OVARIAN HYPERSTIMULATION SYNDROME (OMIM:608115)"
"CLDN16 (10686)","HYPOMAGNESEMIA 3, RENAL (OMIM:248250)"
"FTH1 (2495)","HEMOCHROMATOSIS, TYPE 5 (OMIM:615517)"
"PRICKLE2 (166336)","EPILEPSY, PROGRESSIVE MYOCLONIC 5 (OMIM:613832)"
"PTRH2 (51651)","NEUROLOGIC, ENDOCRINE, AND PANCREATIC DI... (OMIM:616263)"
"B9D1 (27077)","MECKEL SYNDROME, TYPE 9 (OMIM:614209)"
"THMA (117193)","TIBIAL HEMIMELIA (OMIM:275220)"
"MENOQ1 (494029)","MENOPAUSE, NATURAL, AGE AT, QUANTITATIVE... (OMIM:300488)"
"CVMRF (494028)","CUBITUS VALGUS WITH MENTAL RETARDATION A... (OMIM:300471)"
"CORIN (10699)","PREECLAMPSIA/ECLAMPSIA 5 (OMIM:614595)"
"MPC1 (51660)","MITOCHONDRIAL PYRUVATE CARRIER DEFICIENC... (OMIM:614741)"
"FOXP1 (27086)","MENTAL RETARDATION WITH LANGUAGE IMPAIRM... (OMIM:613670)"
"CARD11 (84433)","CARD11 IMMUNODEFICIENCY (OMIM:615206), B-CELL EXPANSION WITH NFKB AND T-CELL AN... (OMIM:616452)"
"FTL (2512)","HYPERFERRITINEMIA WITH OR WITHOUT CATARA... (OMIM:600886), L-FERRITIN DEFICIENCY (OMIM:615604), NEURODEGENERATION WITH BRAIN IRON ACCUMU... (OMIM:606159)"
"UQCRQ (27089)","MITOCHONDRIAL COMPLEX III DEFICIENCY, NU... (OMIM:615159)"
"THCYTX (84434)","THROMBOCYTOSIS, FAMILIAL X-LINKED (OMIM:300331)"
"NR5A1 (2516)","SPERMATOGENIC FAILURE 8 (OMIM:613957), 46,XY SEX REVERSAL 3 (OMIM:612965), PREMATURE OVARIAN FAILURE 7 (OMIM:612964)"
"MFSD8 (256471)","CEROID LIPOFUSCINOSIS, NEURONAL, 7 (OMIM:610951), MACULAR DYSTROPHY WITH CENTRAL CONE INVO... (OMIM:616170)"
"FUCA1 (2517)","FUCOSIDOSIS (OMIM:230000)"
"FUCA2 (2519)","FUCOSIDASE, ALPHA-L, 2 (OMIM:136820)"
"FUS (2521)","TREMOR, HEREDITARY ESSENTIAL, 4 (OMIM:614782), AMYOTROPHIC LATERAL SCLEROSIS 6, WITH OR... (OMIM:608030)"
"CERS1 (10715)","EPILEPSY, PROGRESSIVE MYOCLONIC, 8 (OMIM:616230)"
"FUT1 (2523)","FUCOSYLTRANSFERASE 1 (OMIM:211100)"
"AP4B1 (10717)","SPASTIC PARAPLEGIA 47, AUTOSOMAL RECESSI... (OMIM:614066)"
"SUFU (51684)","BASAL CELL NEVUS SYNDROME (OMIM:109400), MEDULLOBLASTOMA (OMIM:155255)"
"BBS12 (166379)","BARDET-BIEDL SYNDROME 12 (OMIM:615989)"
"G6PC (2538)","GLYCOGEN STORAGE DISEASE IA (OMIM:232200)"
"G6PD (2539)","ANEMIA, NONSPHEROCYTIC HEMOLYTIC, DUE TO... (OMIM:300908), FAVISM, SUSCEPTIBILITY TO (OMIM:134700)"
"PLK4 (10733)","MICROCEPHALY AND CHORIORETINOPATHY, AUTO... (OMIM:616171)"
"TELAB1 (338411)","TELANGIECTASIA, HEREDITARY BENIGN (OMIM:187260)"
"SLC37A4 (2542)","GLYCOGEN STORAGE DISEASE IC (OMIM:232240), GLYCOGEN STORAGE DISEASE IB (OMIM:232220)"
"STAG3 (10734)","PREMATURE OVARIAN FAILURE 8 (OMIM:615723)"
"SLX4 (84464)","FANCONI ANEMIA, COMPLEMENTATION GROUP P (OMIM:613951)"
"PAND1 (387572)","PANIC DISORDER 1 (OMIM:167870)"
"CMTDIA (387574)","CHARCOT-MARIE-TOOTH DISEASE, DOMINANT IN... (OMIM:606483)"
"MEGF10 (84466)","MYOPATHY, AREFLEXIA, RESPIRATORY DISTRES... (OMIM:614399)"
"ACF (387569)","CAYLER CARDIOFACIAL SYNDROME (OMIM:125520)"
"GAA (2548)","GLYCOGEN STORAGE DISEASE II (OMIM:232300)"
"AFF4 (27125)","CHOPS SYNDROME (OMIM:616368)"
"DUH1 (387570)","DYSCHROMATOSIS UNIVERSALIS HEREDITARIA (OMIM:127500)"
"RAI1 (10743)","SMITH-MAGENIS SYNDROME (OMIM:182290)"
"INVS (27130)","NEPHRONOPHTHISIS 2 (OMIM:602088)"
"MGME1 (92667)","MITOCHONDRIAL DNA DEPLETION SYNDROME 11 (OMIM:615084)"
"GABRA1 (2554)","EPILEPTIC ENCEPHALOPATHY, EARLY INFANTIL... (OMIM:615744)"
"MASP2 (10747)","MASP2 DEFICIENCY (OMIM:613791)"
"AUTS3 (387577)","AUTISM, SUSCEPTIBILITY TO, 3 (OMIM:608049)"
"KIF1C (10749)","SPASTIC ATAXIA 2, AUTOSOMAL RECESSIVE (OMIM:611302)"
"MGR5 (387576)","MIGRAINE WITH OR WITHOUT AURA, SUSCEPTIB... (OMIM:607508)"
"GABRB3 (2562)","EPILEPSY, CHILDHOOD ABSENCE, SUSCEPTIBIL... (OMIM:612269)"
"RAB23 (51715)","CARPENTER SYNDROME 1 (OMIM:201000)"
"GABRG2 (2566)","GENERALIZED EPILEPSY WITH FEBRILE SEIZUR... (OMIM:611277)"
"FL1 (100306940)","FOLLICULAR LYMPHOMA (OMIM:613024)"
"TRAF3IP2 (10758)","CANDIDIASIS, FAMILIAL, 8 (OMIM:615527)"
"SCA25 (338435)","SPINOCEREBELLAR ATAXIA 25 (OMIM:608703)"
"GAD1 (2571)","CEREBRAL PALSY, SPASTIC, SYMMETRIC, AUTO... (OMIM:603513)"
"ZMYND11 (10771)","MENTAL RETARDATION, AUTOSOMAL DOMINANT 3... (OMIM:616083)"
"GALC (2581)","KRABBE DISEASE (OMIM:245200)"
"UPB1 (51733)","BETA-UREIDOPROPIONASE DEFICIENCY (OMIM:613161)"
"GALE (2582)","GALACTOSE EPIMERASE DEFICIENCY (OMIM:230350)"
"B4GALNT1 (2583)","SPASTIC PARAPLEGIA 26, AUTOSOMAL RECESSI... (OMIM:609195)"
"GALK1 (2584)","GALACTOKINASE DEFICIENCY (OMIM:230200)"
"GALNS (2588)","MUCOPOLYSACCHARIDOSIS, TYPE IVA (OMIM:253000)"
"WWOX (51741)","ESOPHAGEAL CANCERESOPHAGEAL SQUAMOUS CEL... (OMIM:133239), EPILEPTIC ENCEPHALOPATHY, EARLY INFANTIL... (OMIM:616211), SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESS... (OMIM:614322)"
"GALNT3 (2591)","TUMORAL CALCINOSIS, HYPERPHOSPHATEMIC, F... (OMIM:211900)"
"GALT (2592)","GALACTOSEMIA (OMIM:230400)"
"GAMT (2593)","GUANIDINOACETATE METHYLTRANSFERASE DEFIC... (OMIM:612736)"
"MCM8 (84515)","PREMATURE OVARIAN FAILURE 10 (OMIM:612885)"
"RTEL1 (51750)","PULMONARY FIBROSIS AND/OR BONE MARROW FA... (OMIM:616373), DYSKERATOSIS CONGENITA, AUTOSOMAL RECESS... (OMIM:615190)"
"JAGN1 (84522)","NEUTROPENIA, SEVERE CONGENITAL, 6, AUTOS... (OMIM:616022)"
"C15ORF41 (84529)","ANEMIA, CONGENITAL DYSERYTHROPOIETIC, TY... (OMIM:615631)"
"DISC2 (27184)","SCHIZOPHRENIA (OMIM:181500)"
"SEPT9 (10801)","AMYOTROPHY, HEREDITARY NEURALGIC (OMIM:162100)"
"ATP8A2 (51761)","CEREBELLAR ATAXIA, MENTAL RETARDATION, A... (OMIM:615268)"
"NADK2 (133686)","2,4-@DIENOYL-COA REDUCTASE DEFICIENCY (OMIM:616034)"
"GJB6 (10804)","DEAFNESS, AUTOSOMAL RECESSIVE 1A (OMIM:220290), DEAFNESS, AUTOSOMAL RECESSIVE 1B (OMIM:612645), DEAFNESS, AUTOSOMAL DOMINANT 3B (OMIM:612643), CLOUSTON SYNDROME (OMIM:129500)"
"SDCCAG8 (10806)","BARDET-BIEDL SYNDROME 16 (OMIM:615993), SENIOR-LOKEN SYNDROME 7 (OMIM:613615)"
"GARS (2617)","NEURONOPATHY, DISTAL HEREDITARY MOTOR, T... (OMIM:600794), CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYP... (OMIM:601472)"
"GATA1 (2623)","THROMBOCYTOPENIA, X-LINKED, WITH OR WITH... (OMIM:300367), ANEMIA, X-LINKED, WITH OR WITHOUT NEUTRO... (OMIM:300835), THROMBOCYTOPENIA WITH BETA-THALASSEMIA, ... (OMIM:314050), DOWN SYNDROMETRISOMY 21, INCLUDED (OMIM:190685)"
"GATA2 (2624)","LYMPHEDEMA, PRIMARY, WITH MYELODYSPLASIA (OMIM:614038), IMMUNODEFICIENCY 21 (OMIM:614172)"
"GATA3 (2625)","HYPOPARATHYROIDISM, SENSORINEURAL DEAFNE... (OMIM:146255)"
"GATA4 (2626)","TESTICULAR ANOMALIES WITH OR WITHOUT CON... (OMIM:615542), TETRALOGY OF FALLOT (OMIM:187500), ATRIOVENTRICULAR SEPTAL DEFECT 4 (OMIM:614430), VENTRICULAR SEPTAL DEFECT 1 (OMIM:614429), ATRIAL SEPTAL DEFECT 2 (OMIM:607941)"
"MYOZ2 (51778)","CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 1... (OMIM:613838)"
"GATA6 (2627)","HEART DEFECTS, CONGENITAL, AND OTHER CON... (OMIM:600001), TETRALOGY OF FALLOT (OMIM:187500), ATRIAL SEPTAL DEFECT 9 (OMIM:614475), CONOTRUNCAL HEART MALFORMATIONS (OMIM:217095), ATRIOVENTRICULAR SEPTAL DEFECT 5 (OMIM:614474)"
"GATM (2628)","CEREBRAL CREATINE DEFICIENCY SYNDROME 3 (OMIM:612718)"
